description: You are in a observatory like room. There are windows with a great view of the night sky. There is a telescope sitting in the corner. There is no way out except down.

shortDescription: You are in an observatory with a good view of the sky. There are stairs that lead down.

specialdescription: You are in an observatory with a good view of the sky. There are stairs that lead down.

exits: D

lockedDirection: null

takeItem: telescope

useItem: telescope

specialAction: null

itemDialogue: You saw an odd constellation through the telescope, that apears to represent 1-3-2-4

actionDialogue: null

up: null
down: RoomE
north: null
south: null
east: null
west: null
